cluster atom distance log(1/ds) delta_sa es
cluster5.pqr 10_C22 3.462 1.12 0.12 0.75455
cluster5.pqr 8_C20 3.792 1.12 0.317 0.90567
cluster8.pqr 12_C39 5.367 1.127 0.387 1.10723
cluster2.pqr 8_C20 9.314 0.473 0.317 1.2637
cluster2.pqr 7_C19 9.029 0.473 0.387 1.27711
cluster9.pqr 10_C22 4.378 2.687 0.12 1.31632
cluster8.pqr 1_C13 5.127 1.127 0.779 1.31816
cluster9.pqr 11_C23 3.641 2.687 0.317 1.36071
cluster7.pqr 10_C22 4.906 4.224 0.12 1.82993
cluster3.pqr 10_C22 7.899 3.371 0.12 1.87333
cluster7.pqr 1_C13 2.878 4.224 0.779 2.02216
cluster3.pqr 11_C23 9.324 3.371 0.317 2.134
cluster4.pqr 10_C22 8.724 4.513 0.12 2.29854
cluster10.pqr 11_C23 8.404 4.289 0.317 2.31748
cluster10.pqr 12_C39 8.453 4.289 0.387 2.36429
cluster4.pqr 8_C20 9.17 4.513 0.317 2.46118
cluster6.pqr 11_C23 13.352 4.508 0.317 2.87795
cluster6.pqr 12_C39 13.89 4.508 0.387 2.97363
cluster1.pqr 7_C19 14.919 5.158 0.387 3.27154
cluster1.pqr 1_C13 12.69 5.158 0.779 3.28361
