cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster5.pqr 10_C22 0.346 0.336 0.072 0.75455
cluster5.pqr 8_C20 0.379 0.336 0.19 0.90567
cluster8.pqr 12_C39 0.537 0.338 0.232 1.10723
cluster2.pqr 8_C20 0.931 0.142 0.19 1.2637
cluster2.pqr 7_C19 0.903 0.142 0.232 1.27711
cluster9.pqr 10_C22 0.438 0.806 0.072 1.31632
cluster8.pqr 1_C13 0.513 0.338 0.467 1.31816
cluster9.pqr 11_C23 0.364 0.806 0.19 1.36071
cluster7.pqr 10_C22 0.491 1.267 0.072 1.82993
cluster3.pqr 10_C22 0.79 1.011 0.072 1.87333
cluster7.pqr 1_C13 0.288 1.267 0.467 2.02216
cluster3.pqr 11_C23 0.932 1.011 0.19 2.134
cluster4.pqr 10_C22 0.872 1.354 0.072 2.29854
cluster10.pqr 11_C23 0.84 1.287 0.19 2.31748
cluster10.pqr 12_C39 0.845 1.287 0.232 2.36429
cluster4.pqr 8_C20 0.917 1.354 0.19 2.46118
cluster6.pqr 11_C23 1.335 1.352 0.19 2.87795
cluster6.pqr 12_C39 1.389 1.352 0.232 2.97363
cluster1.pqr 7_C19 1.492 1.547 0.232 3.27154
cluster1.pqr 1_C13 1.269 1.547 0.467 3.28361
